1.8	0.5	31.1	0.2
99.9	0.6	24.4	0.2
200.1	0.7	19.4	0.2
302.8	0.8	14.6	0.2
400.4	0.9	10.9	0.2
449.9	0.9	9.0	0.2
499.9	1.0	7.6	0.2
549.9	1.0	6.2	0.2
600.4	1.1	5.2	0.2
650.4	1.2	4.0	0.2
700.9	1.2	3.2	0.2
750.4	1.3	2.5	0.2
800.2	1.3	1.8	0.2
850.1	1.4	1.2	0.2
900.0	1.4	0.9	0.2
953.5	1.5	0.6	0.2
999	6.0	0.3	0.2
1052	6	0.2	0.2
1101	6	0.1	0.2
1150	6	0.0	0.2
1199	6	0.0	0.2
1251	6	0.0	0.2
1300	6	-0.1	0.2
1349	6	-0.2	0.2
1398	6	-0.2	0.2
1451	6	-0.2	0.2
1502	7	-0.2	0.2
1550	7	-0.2	0.2
1600	7	-0.1	0.2
1698	7	-0.2	0.2
1801	7	-0.2	0.2
1901	7	-0.2	0.2
1999	7	-0.2	0.2
